ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates1;coordinates2
LLIB;medium_airport;Ben Ya'akov Airport;922;AS;IL;IL-Z;Rosh Pina;LLIB;RPN;;35,57189941;32,98099899
LLMZ;medium_airport;Bar Yehuda Airfield;-1266;AS;IL;IL-D;Masada;LLMZ;MTZ;;35,3885994;31,32819939
LLNV;medium_airport;Nevatim Air Base;1330;AS;IL;IL-D;Beersheba;LLNV;VTM;;35,01229858;31,20829964
LLOV;large_airport;Ovda International Airport;1492;AS;IL;IL-D;Eilat;LLOV;VDA;;34,93579865;29,94029999
LLRD;medium_airport;Ramat David Air Base;185;AS;IL;IL-Z;Haifa;LLRD;;;35,17950058;32,6651001
LLRM;medium_airport;Ramon Air Base;2126;AS;IL;IL-D;Beersheba;LLRM;MIP;;34,66669846;30,77610016
LMML;large_airport;Malta International Airport;300;EU;MT;MT-25;Valletta;LMML;MLA;;14,4775;35,857498
LOAN;medium_airport;Wiener Neustadt East Airport;896;EU;AT;AT-3;Wiener Neustadt;LOAN;;;16,26009941;47,84329987
LOWG;medium_airport;Graz Airport;1115;EU;AT;AT-6;Graz;LOWG;GRZ;;15,43959999;46,99110031
LOWI;medium_airport;Innsbruck Airport;1907;EU;AT;AT-7;Innsbruck;LOWI;INN;;11,344;47,260201
LOWK;medium_airport;Klagenfurt Airport;1472;EU;AT;AT-2;Klagenfurt am WÃ¶rthersee;LOWK;KLU;;14,3377;46,642502
LOWL;medium_airport;Linz HÃ¶rsching Airport;980;EU;AT;AT-4;Linz;LOWL;LNZ;;14,1875;48,2332
LOWS;medium_airport;Salzburg Airport;1411;EU;AT;AT-5;Salzburg;LOWS;SZG;;13,00430012;47,79330063
LOWW;large_airport;Vienna International Airport;600;EU;AT;AT-9;Vienna;LOWW;VIE;;16,56970024;48,11029816
LOXZ;medium_airport;Hinterstoisser Air Base;2264;EU;AT;AT-6;Zeltweg;LOXZ;;;14,7442;47,202801
LPAR;medium_airport;Alverca Air Base;11;EU;PT;PT-11;Vila Franca de Xira;LPAR;AVR;;-9,0301;38,883301
LPAZ;medium_airport;Santa Maria Airport;308;EU;PT;PT-20;Vila do Porto;LPAZ;SMA;;-25,17060089;36,97140121
LPBG;medium_airport;BraganÃ§a Airport;2241;EU;PT;PT-04;BraganÃ§a;LPBG;BGC;;-6,70713;41,8578
LPBJ;medium_airport;Beja Airport / Airbase;636;EU;PT;PT-02;Beja;LPBJ;BYJ;;-7,9324;38,078899
LPBR;medium_airport;Braga Municipal Aerodrome;247;EU;PT;PT-03;Braga;LPBR;BGZ;;-8,445139885;41,58710098
LPCB;medium_airport;Aerodromo de Castelo Branco;1300;EU;PT;PT-05;Castelo Branco;LPCB;;;-7,44111;39,847022
LPCO;medium_airport;Aerodromo Municipal de Coimbra;587;EU;PT;PT-06;Coimbra;LPCO;;;-8,470815;40,158758
LPCS;medium_airport;Cascais Airport;325;EU;PT;PT-11;Cascais;LPCS;CAT;;-9,35523;38,724998
LPEV;medium_airport;Ãvora Airport;807;EU;PT;PT-07;Ãvora;LPEV;;;-7,88964;38,533501
LPFL;medium_airport;Flores Airport;112;EU;PT;PT-20;Santa Cruz das Flores;LPFL;FLW;;-31,13139915;39,45529938
LPFR;large_airport;Faro Airport;24;EU;PT;PT-08;Faro;LPFR;FAO;;-7,965909958;37,01440048
LPGR;medium_airport;Graciosa Airport;86;EU;PT;PT-20;Santa Cruz da Graciosa;LPGR;GRW;;-28,02980042;39,09220123
LPHR;medium_airport;Horta Airport;118;EU;PT;PT-20;Horta;LPHR;HOR;;-28,71590042;38,51990128
LPLA;large_airport;Lajes Airport;180;EU;PT;PT-20;Praia da VitÃ³ria;LPLA;TER;;-27,090799;38,761799
LPMA;medium_airport;Madeira Airport;192;EU;PT;PT-30;Funchal;LPMA;FNC;;-16,7745;32,697899
LPMR;medium_airport;Monte Real Air Base;187;EU;PT;PT-10;;LPMR;QLR;;-8,8875;39,828335
LPMT;medium_airport;Montijo Air Base;46;EU;PT;PT-15;Montijo;LPMT;;;-9,03592;38,703899
LPOT;medium_airport;Ota Air Base;140;EU;PT;PT-11;Alenquer;LPOT;;;-8,96278;39,087502
LPOV;medium_airport;Ovar Air Base;56;EU;PT;PT-01;Ovar;LPOV;;;-8,64592;40,915901
LPPD;large_airport;JoÃ£o Paulo II Airport;259;EU;PT;PT-20;Ponta Delgada;LPPD;PDL;;-25,69790077;37,74119949
LPPI;medium_airport;Pico Airport;109;EU;PT;PT-20;Pico Island;LPPI;PIX;;-28,441299;38,554298
LPPM;medium_airport;PortimÃ£o Airport;5;EU;PT;PT-08;PortimÃ£o;LPPM;PRM;;-8,58396;37,1493
LPPR;large_airport;Francisco de SÃ¡ Carneiro Airport;228;EU;PT;PT-13;Porto;LPPR;OPO;;-8,681389809;41,24810028
LPPS;medium_airport;Porto Santo Airport;341;EU;PT;PT-30;Vila Baleira;LPPS;PXO;;-16,35000038;33,07339859
LPPT;large_airport;Humberto Delgado Airport (Lisbon Portela Airport);374;EU;PT;PT-11;Lisbon;LPPT;LIS;;-9,13592;38,7813
LPSJ;medium_airport;SÃ£o Jorge Airport;311;EU;PT;PT-20;Velas;LPSJ;SJZ;;-28,1758;38,665501
LPSO;medium_airport;Ponte de Sor Airport;;EU;PT;PT-12;Ponte de SÃ´r;LPSO;;;-8,056542;39,211559
LPST;medium_airport;Sintra Air Base;440;EU;PT;PT-11;Sintra;LPST;;;-9,33955;38,8311
LPTN;medium_airport;Tancos Airbase;266;EU;PT;PT-14;Tancos;LPTN;;;-8,36458;39,475101
LPVL;medium_airport;Vilar de Luz Airfield;762;EU;PT;PT-13;Maia;LPVL;;;-8,516209;41,27729
LPVR;medium_airport;Vila Real Airport;1805;EU;PT;PT-17;Vila Real;LPVR;VRL;;-7,72047;41,2743
LPVZ;medium_airport;Aerodromo Goncalves Lobato (Viseu Airport);2060;EU;PT;PT-18;Viseu;LPVZ;VSE;;-7,88899;40,725498
LQBK;medium_airport;Banja Luka International Airport;400;EU;BA;BA-SRP;Banja Luka;LQBK;BNX;;17,29750061;44,94139862
LQMO;medium_airport;Mostar International Airport;156;EU;BA;BA-BIH;Mostar;LQMO;OMO;;17,84589958;43,28290176
LQSA;large_airport;Sarajevo International Airport;1708;EU;BA;BA-BIH;Sarajevo;LQSA;SJJ;;18,3314991;43,82460022
LQTZ;medium_airport;Tuzla International Airport;784;EU;BA;BA-BIH;Tuzla;LQTZ;TZL;;18,72480011;44,45869827
LR79;medium_airport;Ianca Air Base;131;EU;RO;RO-BR;Ianca;;;;27,430901;45,158699
LR80;medium_airport;FeteÅti Air Base;180;EU;RO;RO-IL;FeteÅti;LRFT;;;27,7267;44,3923
LR82;medium_airport;Boboc Air Base;344;EU;RO;RO-BZ;Boboc;LRBO;;;26,9786;45,2164
LRAR;medium_airport;Arad International Airport;352;EU;RO;RO-AR;Arad;LRAR;ARW;;21,26199913;46,17660141
LRBC;medium_airport;BacÄu Airport;607;EU;RO;RO-BC;BacÄu;LRBC;BCM;;26,9102993;46,52190018
LRBM;medium_airport;MaramureÈ International Airport;605;EU;RO;RO-MM;Baia Mare;LRBM;BAY;;23,467252;47,660598
LRBS;medium_airport;BÄneasa International Airport;297;EU;RO;RO-B;Bucharest;LRBS;BBU;;26,10210037;44,50320053
